Gauge,Body_Dia_in,Body_Dia_mm,Thread_Major_Dia_in,Thread_Major_Dia_mm,TPI,Pitch_mm,FlatHead_Dia_Max_in,FlatHead_Dia_Max_mm,Head_Ht_Max_in,Head_Ht_Max_mm,Root_Dia_in,Root_Dia_mm,Countersink_Angle_deg,Source
#0,0.060,1.524,0.060,1.524,32,0.794,0.119,3.02,0.035,0.889,0.040,1.016,82,ANSI B18.6.1
#1,0.073,1.854,0.073,1.854,28,0.907,0.146,3.71,0.043,1.092,0.049,1.245,82,ANSI B18.6.1
#2,0.086,2.184,0.086,2.184,26,0.977,0.172,4.37,0.051,1.295,0.057,1.448,82,ANSI B18.6.1
#3,0.099,2.515,0.099,2.515,24,1.058,0.199,5.05,0.059,1.499,0.067,1.702,82,ANSI B18.6.1
#4,0.112,2.845,0.112,2.845,22,1.155,0.225,5.72,0.067,1.702,0.075,1.905,82,ANSI B18.6.1
#5,0.125,3.175,0.125,3.175,20,1.270,0.252,6.40,0.075,1.905,0.083,2.108,82,ANSI B18.6.1
#6,0.138,3.505,0.138,3.505,18,1.411,0.279,7.09,0.083,2.108,0.092,2.337,82,ANSI B18.6.1
#7,0.151,3.835,0.151,3.835,16,1.588,0.305,7.75,0.091,2.311,0.099,2.515,82,ANSI B18.6.1
#8,0.164,4.166,0.164,4.166,15,1.693,0.332,8.43,0.100,2.540,0.108,2.743,82,ANSI B18.6.1
#9,0.177,4.496,0.177,4.496,14,1.814,0.358,9.09,0.108,2.743,0.116,2.946,82,ANSI B18.6.1
#10,0.190,4.826,0.190,4.826,13,1.954,0.385,9.78,0.116,2.946,0.124,3.150,82,ANSI B18.6.1
#11,0.203,5.156,0.203,5.156,12,2.117,0.411,10.44,0.124,3.150,0.132,3.353,82,ANSI B18.6.1
#12,0.216,5.486,0.216,5.486,11,2.309,0.438,11.13,0.132,3.353,0.140,3.556,82,ANSI B18.6.1
#14,0.242,6.147,0.242,6.147,10,2.540,0.491,12.47,0.148,3.759,0.156,3.962,82,ANSI B18.6.1
#16,0.268,6.807,0.268,6.807,9,2.822,0.544,13.82,0.164,4.166,0.172,4.369,82,ANSI B18.6.1
#18,0.294,7.468,0.294,7.468,8,3.175,0.597,15.16,0.180,4.572,0.187,4.750,82,ANSI B18.6.1
#20,0.320,8.128,0.320,8.128,8,3.175,0.650,16.51,0.196,4.978,0.202,5.131,82,ANSI B18.6.1
#24,0.372,9.449,0.372,9.449,7,3.629,0.756,19.20,0.228,5.791,0.234,5.944,82,ANSI B18.6.1
